Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
2,51243,P -1,Mg F2,Mg,Mg,1,2,3,F2,F,2,17,2,Triclinic,,t
2,51247,P -1,Mg Cl2,Mg,Mg,1,2,3,Cl2,Cl,2,17,3,Triclinic,,t
2,155849,P -1,Cr8 O21,Cr8,Cr,8,6,4,O21,O,21,16,2,Triclinic,,t
2,166556,P -1,B C5,B,B,1,13,2,C5,C,5,14,2,Triclinic,,t
2,166849,P -1,Te O2,Te,Te,1,16,5,O2,O,2,16,2,Triclinic,,t
2,182673,P -1,I2 O6,I2,I,2,17,5,O6,O,6,16,2,Triclinic,,t
2,237844,P -1,C6 F10,C6,C,6,14,2,F10,F,10,17,2,Triclinic,,t
2,670317,P -1,Cs4 Xe,Cs4,Cs,4,1,6,Xe,Xe,1,18,5,Triclinic,,t
2,670922,P -1,C Li8,C,C,1,14,2,Li8,Li,8,1,2,Triclinic,,t
10,29,P 1 2/m 1,Nb2 O5,Nb2,Nb,2,5,5,O5,O,5,16,2,Monoclinic,,
10,1503,P 1 2/m 1,V O2,V,V,1,5,4,O2,O,2,16,2,Monoclinic,,
10,15254,P 1 2/m 1,W18 O49,W18,W,18,6,6,O49,O,49,16,2,Monoclinic,,
10,24731,P 1 2/m 1,W O2.72,W,W,1,6,6,O2.72,O,2.72,16,2,Monoclinic,,
10,24736,P 1 2/m 1,W O2.90,W,W,1,6,6,O2.90,O,2.9,16,2,Monoclinic,,
10,27705,P 1 2/m 1,W10 O29,W10,W,10,6,6,O29,O,29,16,2,Monoclinic,,
10,32714,P 2/m 1 1,In Se,In,In,1,13,5,Se,Se,1,16,4,Monoclinic,,
10,65084,P 1 2/m 1,W17 O47,W17,W,17,6,6,O47,O,47,16,2,Monoclinic,,
10,104772,P 1 2/m 1,Li2.74 Pd5.26,Li2.74,Li,2.74,1,2,Pd5.26,Pd,5.26,10,5,Monoclinic,,
10,104782,P 1 2/m 1,Li Sn,Li,Li,1,1,2,Sn,Sn,1,14,5,Monoclinic,,
10,98084,P 1 2/m 1,Fe3 O4,Fe3,Fe,3,8,4,O4,O,4,16,2,Monoclinic,,
10,99227,P 1 2/m 1,Zr Au,Zr,Zr,1,4,5,Au,Au,1,11,6,Monoclinic,,
10,57338,P 1 2/m 1,Au Cd,Au,Au,1,11,6,Cd,Cd,1,12,5,Monoclinic,,
10,645271,P 2/m 1 1,Nb Rh,Nb,Nb,1,5,5,Rh,Rh,1,9,5,Monoclinic,,
10,54284,P 1 2/m 1,Nb2.25 Rh3.75,Nb2.25,Nb,2.25,5,5,Rh3.75,Rh,3.75,9,5,Monoclinic,,
10,153335,P 1 2/m 1,Si72 O144,Si72,Si,72,14,3,O144,O,144,16,2,Monoclinic,,
10,160156,P 1 2/m 1,Nb22 O54,Nb22,Nb,22,5,5,O54,O,54,16,2,Monoclinic,,
10,168198,P 1 1 2/m,Y2.58 Cu10,Y2.58,Y,2.58,3,5,Cu10,Cu,10,11,4,Monoclinic,,
10,187857,P 1 1 2/m,Y0.93 Cu3.67,Y0.93,Y,0.93,3,5,Cu3.67,Cu,3.67,11,4,Monoclinic,,
10,421220,P 1 1 2/m,Pd Cl2,Pd,Pd,1,10,5,Cl2,Cl,2,17,3,Monoclinic,,
10,85468,P 1 2/m 1,Si28 O56,Si28,Si,28,14,3,O56,O,56,16,2,Monoclinic,,t
10,180115,P 1 2/m 1,Cu11 In9,Cu11,Cu,11,11,4,In9,In,9,13,5,Monoclinic,,t
11,114,P 1 21/m 1,Gd P5,Gd,Gd,1,3,6,P5,P,5,15,3,Monoclinic,,
11,357,P 1 21/m 1,La P5,La,La,1,3,6,P5,P,5,15,3,Monoclinic,,
11,358,P 1 21/m 1,Nd P5,Nd,Nd,1,3,6,P5,P,5,15,3,Monoclinic,,
11,430,P 1 21/m 1,Tm2 S3,Tm2,Tm,2,3,6,S3,S,3,16,3,Monoclinic,,
11,862,P 1 21/m 1,Ca Sb2,Ca,Ca,1,2,4,Sb2,Sb,2,15,5,Monoclinic,,
11,1239,P 1 21/m 1,Rb9 O2,Rb9,Rb,9,1,5,O2,O,2,16,2,Monoclinic,,
11,1581,P 1 21/m 1,Sm5 Br11,Sm5,Sm,5,3,6,Br11,Br,11,17,4,Monoclinic,,
11,1995,P 1 21/m 1,P4 S5,P4,P,4,15,3,S5,S,5,16,3,Monoclinic,,
11,10081,P 1 21/m 1,Eu Sb2,Eu,Eu,1,3,6,Sb2,Sb,2,15,5,Monoclinic,,
11,14349,P 1 21/m 1,Mo Te2,Mo,Mo,1,6,5,Te2,Te,2,16,5,Monoclinic,,
11,15317,P 1 21/m 1,In6 S7,In6,In,6,13,5,S7,S,7,16,3,Monoclinic,,
11,16261,P 1 21/m 1,Mo2.06 S3,Mo2.06,Mo,2.06,6,5,S3,S,3,16,3,Monoclinic,,
11,16107,P 1 21/m 1,As4 S5,As4,As,4,15,4,S5,S,5,16,3,Monoclinic,,
11,20725,P 1 21/m 1,Tb S2,Tb,Tb,1,3,6,S2,S,2,16,3,Monoclinic,,
11,22252,P 1 21/m 1,Ho2 S3,Ho2,Ho,2,3,6,S3,S,3,16,3,Monoclinic,,
11,23478,P 1 21/m 1,Tl4 O3,Tl4,Tl,4,13,6,O3,O,3,16,2,Monoclinic,,
11,24355,P 1 21/m 1,Rh4 Si5,Rh4,Rh,4,9,5,Si5,Si,5,14,3,Monoclinic,,
11,24407,P 1 21/m 1,P4 O6,P4,P,4,15,3,O6,O,6,16,2,Monoclinic,,
11,25114,P 1 21/m 1,Re3 I9,Re3,Re,3,7,6,I9,I,9,17,5,Monoclinic,,
11,26418,P 1 21/m 1,Zr I2,Zr,Zr,1,4,5,I2,I,2,17,5,Monoclinic,,
11,30002,P 1 21/m 1,Nb Se3,Nb,Nb,1,5,5,Se3,Se,3,16,4,Monoclinic,,
11,36243,P 1 21/m 1,Pb2 O3,Pb2,Pb,2,14,6,O3,O,3,16,2,Monoclinic,,
11,36316,P 1 1 21/m,U3 O8,U3,U,3,3,7,O8,O,8,16,2,Monoclinic,,
11,39257,P 1 1 21/m,Bi9 I2,Bi9,Bi,9,15,6,I2,I,2,17,5,Monoclinic,,
