Struct.formula,Struct.formula,,族1,族2,元素1数,元素2数,Table No.
Fe Se0.984,Fe,Se0.984,8,16,1,0.984,129
Tl5 Se3,Tl5,Se3,13,16,5,3,130
Pu5 Rh3,Pu5,Rh3,3,9,5,3,130
La5 Ir3,La5,Ir3,3,9,5,3,130
Ho5 Ga3,Ho5,Ga3,3,13,5,3,130
Si O2,Si,O2,14,16,1,2,131
B50 Fe1.04,B50,Fe1.04,13,8,50,1.04,134
Co F2,Co,F2,9,17,1,2,136
Mn O2,Mn,O2,7,16,1,2,136
Pb O2,Pb,O2,14,16,1,2,136
Cr F4,Cr,F4,6,17,1,4,136
Sn0.912 O2,Sn0.912,O2,14,16,0.912,2,136
Co7 Cr8,Co7,Cr8,9,6,7,8,136
Fe Mo,Fe,Mo,8,6,1,1,136
Co4 In12,Co4,In12,9,13,4,12,136
Ta3 Al2,Ta3,Al2,5,13,3,2,136
Cr1.33 Ru0.67,Cr1.33,Ru0.67,6,8,1.33,0.67,136
Mo1.5 Ir0.5,Mo1.5,Ir0.5,6,9,1.5,0.5,136
Mo1.2 Os0.8,Mo1.2,Os0.8,6,8,1.2,0.8,136
Mo0.6 Tc1.4,Mo0.6,Tc1.4,6,7,0.6,1.4,136
V1.3 Ni0.7,V1.3,Ni0.7,5,10,1.3,0.7,136
Os W2,Os,W2,8,6,1,2,136
Tc1.4 W0.6,Tc1.4,W0.6,7,6,1.4,0.6,136
Cr2 Re3,Cr2,Re3,6,7,2,3,136
Mn0.481 Re0.519,Mn0.481,Re0.519,7,7,0.481,0.519,136
Ta1.500 Al,Ta1.500,Al,5,13,1.5,1,136
Co10.78 Cr19.22,Co10.78,Cr19.22,9,6,10.78,19.22,136
Nb4 O5,Nb4,O5,5,16,4,5,137
Tl Te,Tl,Te,13,16,1,1,137
Hf O2,Hf,O2,4,16,1,2,137
Dy Au6,Dy,Au6,3,11,1,6,138
Cu Ti2,Cu,Ti2,11,4,1,2,139
Er C2,Er,C2,3,14,1,2,139
Gd Mn12,Gd,Mn12,3,7,1,12,139
Bi2 O2.7,Bi2,O2.7,15,16,2,2.7,139
Bi2 O2.3,Bi2,O2.3,15,16,2,2.3,139
Lu C2,Lu,C2,3,14,1,2,139
Dy C2,Dy,C2,3,14,1,2,139
Nb4 N3,Nb4,N3,5,15,4,3,139
Zr D2,Zr,D2,4,1,1,2,139
Sr11 Sb10,Sr11,Sb10,2,15,11,10,139
Sr11 Bi10,Sr11,Bi10,2,15,11,10,139
Ag Zr2,Ag,Zr2,11,4,1,2,139
Ba In4,Ba,In4,2,13,1,4,139
Tl F,Tl,F,13,17,1,1,139
Ga3 Hf,Ga3,Hf,13,4,3,1,139
Ga10 Hf11,Ga10,Hf11,13,4,10,11,139
Nb Pd3,Nb,Pd3,5,10,1,3,139
Sc Zn12,Sc,Zn12,3,12,1,12,139
Al11 Ti5,Al11,Ti5,13,4,11,5,139
Sm C2,Sm,C2,3,14,1,2,139
Ag2 Zr,Ag2,Zr,11,4,2,1,139
Al2 Ru,Al2,Ru,13,8,2,1,139
Au Zr2,Au,Zr2,11,4,1,2,139
Ce2 Bi,Ce2,Bi,3,15,2,1,139
Ce11 Sn10,Ce11,Sn10,3,14,11,10,139
Tb11 Ge10,Tb11,Ge10,3,14,11,10,139
Zr In3,Zr,In3,4,13,1,3,139
Pd2 Zr,Pd2,Zr,10,4,2,1,139
Y11 Sn10,Y11,Sn10,3,14,11,10,139
In0.96 Mg0.04,In0.96,Mg0.04,13,2,0.96,0.04,139
Au0.5 Ta0.5,Au0.5,Ta0.5,11,5,0.5,0.5,139
Mn0.89 Pd2.89,Mn0.89,Pd2.89,7,10,0.89,2.89,139
Zr2 Cu,Zr2,Cu,4,11,2,1,139
In Pd3,In,Pd3,13,10,1,3,139
La11 Sn10,La11,Sn10,3,14,11,10,139
Ba Ge3,Ba,Ge3,2,14,1,3,139
Pu5 Ru3,Pu5,Ru3,3,8,5,3,140
Mn Sn2,Mn,Sn2,7,14,1,2,140
Ba Te2,Ba,Te2,2,16,1,2,140
Fe Ge2,Fe,Ge2,8,14,1,2,140
Ta5 Ge3,Ta5,Ge3,5,14,5,3,140
Cd2 K0.37,Cd2,K0.37,12,1,2,0.37,140
Ba5 Pb3,Ba5,Pb3,2,14,5,3,140
Pt Tl2,Pt,Tl2,10,13,1,2,140
Zn Th2,Zn,Th2,12,3,1,2,140
Ga5 Pd,Ga5,Pd,13,10,5,1,140
Rh2 Y3,Rh2,Y3,9,3,2,3,140
Ce5 Si3,Ce5,Si3,3,14,5,3,140
Ca5 Ga3,Ca5,Ga3,2,13,5,3,140
Tl3 Dy5,Tl3,Dy5,13,3,3,5,140
Lu3 Ga2,Lu3,Ga2,3,13,3,2,140
Tb3 Ga2,Tb3,Ga2,3,13,3,2,140
W5 Ge3,W5,Ge3,6,14,5,3,140
Ir2 Y3,Ir2,Y3,9,3,2,3,140
Rh2 Tb3,Rh2,Tb3,9,3,2,3,140
Sr5 Tl3,Sr5,Tl3,2,13,5,3,140
Ba4.81 Pb3,Ba4.81,Pb3,2,14,4.81,3,140
U Si2,U,Si2,3,14,1,2,141
Ba Ge2,Ba,Ge2,2,14,1,2,141
Ir B1.1,Ir,B1.1,9,13,1,1.1,141
V51.61 O64,V51.61,O64,5,16,51.61,64,141
Ce Si1.9,Ce,Si1.9,3,14,1,1.9,141
La D2.485,La,D2.485,3,1,1,2.485,141
Am Si2,Am,Si2,3,14,1,2,141
Nd D2.268,Nd,D2.268,3,1,1,2.268,141
Ga Zr,Ga,Zr,13,4,1,1,141
Ba Cd11,Ba,Cd11,2,12,1,11,141
Ce Ge1.66,Ce,Ge1.66,3,14,1,1.66,141
Gd Si2,Gd,Si2,3,14,1,2,141
Pr Ge1.75,Pr,Ge1.75,3,14,1,1.75,141
Pu Pb2,Pu,Pb2,3,14,1,2,141
In0.05 Sn0.95,In0.05,Sn0.95,13,14,0.05,0.95,141
Eu Bi2,Eu,Bi2,3,15,1,2,141
Al2 Ti,Al2,Ti,13,4,2,1,141
Li P7,Li,P7,1,15,1,7,142
Hg I2,Hg,I2,12,17,1,2,142
K8 Pb8,K8,Pb8,1,14,8,8,142
Rb Pb,Rb,Pb,1,14,1,1,142
C60 I3.83,C60,I3.83,14,17,60,3.83,147
In3 Au10,In3,Au10,13,11,3,10,147
