A,B,x,y,Chiral
8,12,1,13,0
6,16,5.2,8,0
13,5,45,7,0
11,7,5,2,0
15,10,2,5,0
2,13,1,4,0
5,16,6,13,0
4,16,1,1,0
4,16,3,5,0
3,16,2,3,0
4,16,1,0.997,0
6,15,1,2,0
4,17,1,3,0
9,12,1,13,0
11,13,11,9,0
8,3,17,2,0
13,10,9,13,0
13,1,7,1,0
2,12,4,7,0
7,12,1,13,0
10,3,4,1,0
10,14,3.08,4,0
10,14,3.39,4,0
10,14,3,4,0
11,16,1,2,0
9,12,1.93,15.04,0
2,13,1,4,0
13,17,1,3,0
16,17,1,1,0
4,16,8,3,0
3,17,6,7,0
3,17,6,7,0
5,16,1,2,0
7,13,1,4,0
10,16,1.875,2,0
9,16,1,1,0
11,17,1,2,0
1,16,2,5,0
1,16,5,3,0
3,17,5,8,0
5,16,4.7,4,0
3,17,5,8,0
3,17,5,8,0
5,16,1.04,2,0
6,15,2,3,0
7,15,2,3,0
5,16,2,3,0
10,16,1,1,0
6,15,2,3,0
4,16,0.73,1,0
13,6,45,7,0
5,17,1,4,0
6,16,5.095,8,0
9,16,3,4,0
9,16,6.84,8,0
9,16,6.8,8,0
13,8,3.2,1,0
3,13,1,4,0
2,9,2.3,2.7,0
15,10,1,1.12,0
15,10,1,0.97,0
15,10,1,0.96,0
15,10,1,1,0
14,17,22,14,0
2,15,4,3,0
4,16,3,4,0
8,13,1,3.2,0
9,13,4,13,0
3,16,2,3,0
4,15,7,4,0
5,15,7,4,0
15,16,2,3,0
14,15,1,1,0
5,15,1,2,0
4,15,7,4,0
10,15,1,2,0
3,16,2,3,0
3,16,2,3,0
4,9,2,7,0
3,9,2,17,0
9,3,17,2,0
6,16,5,8,0
6,16,2.67,4,0
6,16,5,8,0
6,16,3,4,0
3,16,5,7,0
3,10,1,4,0
3,16,5,7,0
3,15,1,3,0
8,13,3,4,0
10,13,13,9,0
3,13,1,4,0
3,16,2,3,0
14,15,1,1,0
7,14,1,2,0
3,10,3,2,0
3,16,5,7,0
5,15,1,2,0
3,10,3,2,0
10,4,7,2,0
3,16,2,3,0
8,14,1,2,0
4,15,7,4,0
9,16,3,4,0
3,16,5,7,0
5,15,1,2,0
4,16,2.67,4,0
16,3,22,15,0
6,16,5.6,8,0
13,10,9,13,0
13,10,1,1,0
13,10,9,13,0
1,14,1,2,0
5,17,1,5,0
6,16,5,8,0
13,8,9.75,3,0
3,17,1,3,0
4,12,5,38.92,0
3,8,4,3,0
8,13,4,13,0
3,16,11,4,0
10,13,13,9,0
13,9,3,1,0
5,16,14,6.16,0
3,13,5,3,0
2,13,13,14,0
6,17,1,4,0
13,9,24.412,8,0
10,14,5,7,0
2,15,3,2,0
3,14,1,1,0
3,7,1,2,0
15,16,2,3,0
14,16,76,152,0
1,15,1,2,0
3,16,2,3,0
11,13,10,7,0
15,17,16,4,0
10,14,3,1,0
3,14,1,5,0
14,16,139.73,339.45,0
1,13,9,4,0
13,10,3,7,0
13,10,5,13,0
9,12,1,13,0
5,15,1,2,0
1,14,3.49,60,0
3,8,3,29,0
13,3,4,1,0
3,16,2,3,0
2,13,1,4,0
2,9,1.933,3.067,0
7,17,1,3,0
1,13,21.88,8.12,0
15,16,1,2,0
15,16,1,2,0
6,17,1,3,0
15,16,1,1,0
6,16,1,2,0
6,16,2.45,4,0
8,16,13,19,0
7,13,3,1,0
6,17,1,4,0
10,13,12,5.86,0
8,16,5,7,0
10,15,5,1,0
17,14,6,2,0
17,5,4,1,0
3,10,3,2,0
14,16,56,112,0
7,16,1,2,0
6,16,3,8,0
5,16,2,5,0
3,16,2,3,0
3,16,2,3,0
3,16,2,3,0
3,16,2,3,0
3,16,2,3,0
3,16,2,3,0
3,16,2,3,0
3,16,2,3,0
3,16,2,3,0
15,4,1,2,0
3,4,2,1,0
9,14,1,2,0
1,15,5,4,0
8,14,3,1,0
7,15,1,2,0
3,8,3,29,0
6,1,1,6,0
8,3,29,3,0
5,16,2,3,0
5,16,2,3,0
6,13,3,8,0
3,1,1,3,0
2,14,2,3,0
14,1,1,2,0
14,1,3,4,0
1,15,1,3,0
12,16,1,1,0
1,16,2,2,0
1,15,4,1,0
6,16,25,73,0
4,17,1,4,0
13,1,10,14,0
7,17,1,4,0
13,1,10,14,0
5,16,3,5,0
6,16,9,26,0
6,16,8,23,0
4,17,1,4,0
6,16,9,25,0
4,17,1,4,0
6,16,1,2.96,0
1,14,1.17,2,0
13,17,8,12,0
8,16,3,4,0
16,16,2.9,5.1,0
16,16,3.34,4.66,0
16,16,3.02,4.98,0
16,16,7,1,0
16,16,6,2,0
16,16,2.57,5.43,0
16,16,1.1,6.9,0
16,16,3.7,4.3,0
16,16,1,7,0
2,15,2,3,0
15,16,8,9,0
16,16,4.704,3.296,0
3,16,2,5,0
14,16,3,4,0
14,16,1,2,0
14,1,12,7,0
14,17,84,20,0
4,16,3,5,0
13,16,2,3,0
7,15,1,2,0
16,17,3,2,0
2,15,1,4,0
13,1,13,19,0
15,16,4,4,0
14,16,1,2,0
1,16,11,3,0
13,1,2,6,0
16,16,4.69,3.21,0
2,15,3,14,0
3,17,11,24,0
3,15,1,2,0
14,16,1,2,0
12,15,1,2,0
15,16,4,4,0
16,15,1,1,0
16,15,4,4,0
15,16,2,3,0
8,15,1,4,0
15,16,2,3,0
13,16,4,3,0
11,17,2,6,0
15,16,2,3,0
11,17,1,2,0
16,16,4,4,0
16,16,3,5,0
13,1,20,26,0
9,17,1,5,0
14,17,5,12,0
16,16,2,5,0
3,15,2,3,0
8,17,1,5,0
3,15,1,7,0
13,16,8,16,0
13,1,18,22,0
6,16,4,11,0
15,16,4,7,0
6,16,1,3,0
14,17,1,4,0
4,16,1,2,0
11,16,1.9375,1,0
15,16,1,1,0
15,16,2,3,0
11,17,1,2,0
4,17,1,4,0
3,17,1,2,0
3,17,1,5,0
11,17,1,3,0
5,16,3,9,0
13,17,2,6,0
15,16,4,7,0
17,17,1,1,0
3,17,1,4,0
2,14,1,2,0
16,16,1,3,0
13,17,1,3,0
10,17,1,2,0
12,15,1,4,0
14,17,1,4,0
13,1,16,20,0
1,15,1,1,0
1,15,1,1,0
18,17,1,4,0
8,17,1,5,0
10,15,6,1,0
3,16,1,2,0
4,16,1,2,0
10,17,1,2,0
17,16,2,5,0
8,17,1,5,0
11,16,1,1,0
13,17,2,4,0
13,1,9,15,0
15,16,2,4,0
11,16,2,1,0
13,1,4,10,0
6,17,1,2,0
2,15,2,3,0
6,16,1,3,0
11,15,1,2,0
11,15,1,2,0
13,1,5,11,0
16,17,2,2,0
16,17,2,2,0
16,16,1,7,0
9,15,1,2,0
15,17,1,3,0
13,17,1,3,0
3,16,1,2,0
9,15,1,2,0
14,17,5,10,0
14,17,5,10,0
2,15,2,3,0
11,16,3,4,0
10,17,1,2,0
7,16,2,7,0
9,14,3,5,0
3,13,2,5,0
14,17,1,4,0
16,17,1,4,0
9,15,1,2,0
17,16,2,4,0
10,16,7,2,0
10,16,34,11,0
5,17,1,4,0
15,16,4,9,0
5,17,1,5,0
11,16,2,2,0
10,17,1,5,0
15,16,2,5,0
3,14,4,7,0
16,15,4,4,0
15,16,4,4,0
9,14,1,1,0
2,17,1,2,0
2,17,1,2,0
2,17,1,2,0
11,16,2,1,0
15,16,4,6,0
3,16,10,18,0
6,16,1,2,0
3,14,4,7,0
13,17,2,6,0
6,16,1,2,0
14,16,96,192,0
16,16,7.68,0.32,0
16,16,5.95,1.05,0
6,17,1,5,0
14,17,1,2,0
14,17,1,2,0
3,16,12,22,0
1,14,12,17,0
3,14,4,7,0
6,16,1,3,0
14,17,1,2,0
15,17,1,3,0
1,15,1,1,0
1,15,1,1,0
15,17,4,16,0
3,15,2,11,0
17,17,1,3,0
15,15,3,4,0
14,16,1,2,0
13,16,2,3,0
17,17,1,1,0
11,16,31,16,0
7,14,5,3,0
3,15,1,7,0
16,15,2,2,0
9,15,1,2,0
1,14,1,1,0
9,15,1,2,0
9,15,1,2,0
9,15,1,2,0
11,16,2,1,0
1,17,2,8,0
9,15,1,2,0
8,16,1,1,0
3,17,1,2,0
10,16,5,4,0
9,15,1,2,0
9,15,1,2,0
14,16,12,24,0
14,17,1,4,0
10,16,9,4,0
1,15,4,4,0
14,16,1,2,0
1,15,3,7,0
1,15,1,1,0
1,15,5,8,0
14,17,1,4,0
4,17,1,4,0
15,17,1,5,0
1,15,3,7,0
14,1,24,12,0
7,14,2,1,0
13,9,9,2,0
13,9,9,2,0
13,16,1,1,0
1,15,3,7,0
12,15,1,2,0
1,14,4,9,0
1,14,4,9,0
11,2,4,5,0
3,11,1,6,0
5,16,6,13,0
12,17,1,2,0
6,16,5,14,0
4,16,0.944,2,0
4,16,0.932,2,0
4,16,0.931,2,0
4,16,0.936,2,0
4,16,0.93,2,0
5,16,1,2,0
9,3,5,8,0
11,3,6,1,0
13,6,30.75,6,0
11,3,6,1,0
10,3,1,1,0
3,16,5,9,0
1,14,12,17,0
13,17,1,3,0
13,17,1,3,0
13,17,1,3,0
1,14,52,82,0
1,14,51,82,0
3,9,12,7,0
3,9,12,7,0
3,9,12,7,0
3,9,12,7,0
3,9,12,7,0
1,16,1,3,0
2,15,3,14,0
14,16,2,3,0
15,16,2,2,0
13,17,2,3,0
1,16,1,3,0
2,15,3,14,0
5,16,3,5,0
1,15,1,1,0
1,15,1,1,0
1,15,1,1,0
3,14,5,4,0
3,11,1,6,0
13,9,9,2,0
14,17,1,4,0
8,13,2,9,0
9,13,2,9,0
3,15,1,2,0
3,15,1,2,0
3,15,1,2,0
15,16,1,1,0
3,13,2,5,0
9,15,1,2,0
3,15,1,2,0
9,13,2,9,0
9,13,2,9,0
3,16,1,2,0
7,16,1,2,0
7,16,1,2,0
8,15,1,4,0
3,15,1,2,0
8,15,1,4,0
13,16,2,3,0
15,9,2,1,0
4,15,7,3.93,0
1,15,2,2,0
3,9,8,5,0
14,16,1,2,0
11,14,5,4,0
4,16,1,2,0
1,16,2,1,0
3,16,1,2,0
3,16,1,2,0
18,17,1,6,0
13,5,20.6,22.4,0
1,13,10,7,0
14,16,6,8,0
8,17,1,4,0
3,14,1,1,0
14,17,76,24.24,0
14,17,76,25.92,0
14,17,76,28,0
14,17,76,28.65,0
14,17,76,33.84,0
8,16,2,3,0
5,17,1,4,0
5,13,1.108,1,0
11,14,4.8,4,0
14,17,76,34,0
3,16,1,2,0
5,17,1,5,0
3,16,1,2,0
3,16,1,2,0
14,17,1,4,0
14,17,86,28,0
10,17,1,2,0
3,16,1,2,0
3,16,1,2,0
15,16,2,7,0
3,14,5,4,0
14,17,84,32.38,0
6,17,4,10,0
14,17,96,22.15,0
15,9,2,1,0
7,13,1,4,0
1,16,2,6,0
14,17,3,8,0
14,15,1,7,0
14,17,80,28.15,0
14,17,88,22.09,0
14,17,88,24.21,0
14,17,6,10,0
1,14,4,4,0
7,16,1,2,0
14,17,94,14,0
15,16,4,6,0
15,16,12,18,0
2,15,1,3,0
14,17,84,26.15,0
2,15,1,2,0
2,15,1,2,0
16,17,2,2,0
4,17,1,4,0
14,17,100,22.1,0
3,16,1,1.97,0
