Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
153,104805,P 31 1 2,Lu Ni4,Lu,Lu,1,3,6,Ni4,Ni,4,10,4,Trigonal,c,
153,167672,P 32 1 2,Li7 Si3,Li7,Li,7,1,2,Si3,Si,3,14,3,Trigonal,,t
154,174,P 32 2 1,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Trigonal,,
154,24565,P 32 2 1,V7 S8,V7,V,7,5,4,S8,S,8,16,3,Trigonal,,
154,70054,P 32 2 1,Hg S,Hg,Hg,1,12,6,S,S,1,16,3,Trigonal,,
154,16577,P 32 2 1,Ge O2,Ge,Ge,1,14,4,O2,O,2,16,2,Trigonal,,
154,639125,P 32 2 1,Hg O,Hg,Hg,1,12,6,O,O,1,16,2,Trigonal,,
154,639202,P 32 2 1,Hg Se,Hg,Hg,1,12,6,Se,Se,1,16,4,Trigonal,,
154,639251,P 32 2 1,Hg Te,Hg,Hg,1,12,6,Te,Te,1,16,5,Trigonal,,
154,195513,P 32 2 1,Pd7.19 Sn4.31,Pd7.19,Pd,7.19,10,5,Sn4.31,Sn,4.31,14,5,Trigonal,,
154,8048,P 31 2 1,Fe7 Se8,Fe7,Fe,7,8,4,Se8,Se,8,16,4,Trigonal,c,
154,8064,P 31 2 1,Fe7 S8,Fe7,Fe,7,8,4,S8,S,8,16,3,Trigonal,c,
154,37164,P 31 2 1,Ni17 S18,Ni17,Ni,17,10,4,S18,S,18,16,3,Trigonal,c,
154,65938,P 31 2 1,Ti6 C3.75,Ti6,Ti,6,4,4,C3.75,C,3.75,14,2,Trigonal,c,
154,67862,P 31 2 1,Cd Te,Cd,Cd,1,12,5,Te,Te,1,16,5,Trigonal,c,
154,80075,P 31 2 1,Zn Te,Zn,Zn,1,12,4,Te,Te,1,16,5,Trigonal,c,
154,53655,P 31 2 1,Ir Ge4,Ir,Ir,1,9,6,Ge4,Ge,4,14,4,Trigonal,c,
154,51575,P 31 2 1,B2 O3,B2,B,2,13,2,O3,O,3,16,2,Trigonal,c,
154,637677,P 31 2 1,Rh Ge4,Rh,Rh,1,9,5,Ge4,Ge,4,14,4,Trigonal,c,
154,648931,P 31 2 1,Pd20 Sn13,Pd20,Pd,20,10,5,Sn13,Sn,13,14,5,Trigonal,c,
154,651997,P 31 2 1,Te0.25 Se0.75,Te0.25,Te,0.25,16,5,Se0.75,Se,0.75,16,4,Trigonal,c,
154,651998,P 31 2 1,Te0.5 Se0.5,Te0.5,Te,0.5,16,5,Se0.5,Se,0.5,16,4,Trigonal,c,
154,261194,P 31 2 1,Be F2,Be,Be,1,2,2,F2,F,2,17,2,Trigonal,c,
154,41493,P 31 2 1,Ti O2,Ti,Ti,1,4,4,O2,O,2,16,2,Trigonal,c,t
154,181495,P 31 2 1,Ir C4,Ir,Ir,1,9,6,C4,C,4,14,2,Trigonal,c,t
154,670929,P 31 2 1,O2 Si,O2,O,2,16,2,Si,Si,1,14,3,Trigonal,c,t
169,1376,P 61,In2 Se3,In2,In,2,13,5,Se3,Se,3,16,4,Hexagonal,,
169,73220,P 61,Al2 S3,Al2,Al,2,13,3,S3,S,3,16,3,Hexagonal,,
169,202408,P 61,Ga2 S3,Ga2,Ga,2,13,4,S3,S,3,16,3,Hexagonal,,
169,430303,P 61,W5 I12,W5,W,5,6,6,I12,I,12,17,5,Hexagonal,,
170,108563,P 65,In2 Se3,In2,In,2,13,5,Se3,Se,3,16,4,Hexagonal,,
170,73220,P 61,Al2 S3,Al2,Al,2,13,3,S3,S,3,16,3,Hexagonal,c,
170,202408,P 61,Ga2 S3,Ga2,Ga,2,13,4,S3,S,3,16,3,Hexagonal,c,
170,430303,P 61,W5 I12,W5,W,5,6,6,I12,I,12,17,5,Hexagonal,c,
171,150267,P 62,Co1.76 Zn13.24,Co1.76,Co,1.76,9,4,Zn13.24,Zn,13.24,12,4,Hexagonal,,
171,150268,P 62,Co1.815 Zn13.24,Co1.815,Co,1.815,9,4,Zn13.24,Zn,13.24,12,4,Hexagonal,,
171,171734,P 62,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Hexagonal,,t
172,150267,P 62,Co1.76 Zn13.24,Co1.76,Co,1.76,9,4,Zn13.24,Zn,13.24,12,4,Hexagonal,c,
172,150268,P 62,Co1.815 Zn13.24,Co1.815,Co,1.815,9,4,Zn13.24,Zn,13.24,12,4,Hexagonal,c,
172,171734,P 62,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Hexagonal,c,t
178,16876,P 61 2 2,Au F3,Au,Au,1,11,6,F3,F,3,17,2,Hexagonal,,
178,80477,P 61 2 2,Ag F3,Ag,Ag,1,11,5,F3,F,3,17,2,Hexagonal,,
178,104611,P 61 2 2,Ir3 Zr5,Ir3,Ir,3,9,6,Zr5,Zr,5,4,5,Hexagonal,,
178,638575,P 61 2 2,Hf5 Ir3,Hf5,Hf,5,4,6,Ir3,Ir,3,9,6,Hexagonal,,
178,170542,P 65 2 2,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Hexagonal,c,t
179,16876,P 61 2 2,Au F3,Au,Au,1,11,6,F3,F,3,17,2,Hexagonal,c,
179,80477,P 61 2 2,Ag F3,Ag,Ag,1,11,5,F3,F,3,17,2,Hexagonal,c,
179,104611,P 61 2 2,Ir3 Zr5,Ir3,Ir,3,9,6,Zr5,Zr,5,4,5,Hexagonal,c,
179,638575,P 61 2 2,Hf5 Ir3,Hf5,Hf,5,4,6,Ir3,Ir,3,9,6,Hexagonal,c,
179,170542,P 65 2 2,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Hexagonal,,t
180,9481,P 62 2 2,Be F2,Be,Be,1,2,2,F2,F,2,17,2,Hexagonal,,
180,16502,P 62 2 2,Nb Si2,Nb,Nb,1,5,5,Si2,Si,2,14,3,Hexagonal,,
180,16503,P 62 2 2,Nb Ge2,Nb,Nb,1,5,5,Ge2,Ge,2,14,4,Hexagonal,,
180,16504,P 62 2 2,Ta Ge2,Ta,Ta,1,5,6,Ge2,Ge,2,14,4,Hexagonal,,
180,16836,P 62 2 2,Cr Si2,Cr,Cr,1,6,4,Si2,Si,2,14,3,Hexagonal,,
180,26430,P 62 2 2,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Hexagonal,,
