Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
33,42445,P n a 21,V As,V,V,1,5,4,As,As,1,15,4,Orthorhombic,,
33,51122,P n a 21,Fe2 O3,Fe2,Fe,2,8,4,O3,O,3,16,2,Orthorhombic,,
33,91283,P n 21 a,Li2 S,Li2,Li,2,1,2,S,S,1,16,3,Orthorhombic,,
33,56808,P n 21 a,In2 Br3,In2,In,2,13,5,Br3,Br,3,17,4,Orthorhombic,,
33,105513,P n a 21,Al2.814 Mn1.186,Al2.814,Al,2.814,13,3,Mn1.186,Mn,1.186,7,4,Orthorhombic,,
33,647389,P n a 21,Sb O2,Sb,Sb,1,15,5,O2,O,2,16,2,Orthorhombic,,
33,650835,P n a 21,Sc2 S3,Sc2,Sc,2,3,4,S3,S,3,16,3,Orthorhombic,,
33,656243,P n 21 a,La S2,La,La,1,3,6,S2,S,2,16,3,Orthorhombic,,
33,416320,P c 21 n,Xe F6,Xe,Xe,1,18,5,F6,F,6,17,2,Orthorhombic,,
33,249579,P c 21 n,Er12.887 Zn58.817,Er12.887,Er,12.887,3,6,Zn58.817,Zn,58.817,12,4,Orthorhombic,,
33,249580,P c 21 n,Tm12.88 Zn58.64,Tm12.88,Tm,12.88,3,6,Zn58.64,Zn,58.64,12,4,Orthorhombic,,
33,249581,P c 21 n,Lu12.713 Zn58.534,Lu12.713,Lu,12.713,3,6,Zn58.534,Zn,58.534,12,4,Orthorhombic,,
33,431149,P n a 21,W5 I16,W5,W,5,6,6,I16,I,16,17,5,Orthorhombic,,
34,15003,P n n 2,Fe Sb2,Fe,Fe,1,8,4,Sb2,Sb,2,15,5,Orthorhombic,,
34,42726,P n n 2,Fe S2,Fe,Fe,1,8,4,S2,S,2,16,3,Orthorhombic,,
34,42727,P n n 2,Fe Te2,Fe,Fe,1,8,4,Te2,Te,2,16,5,Orthorhombic,,
34,42728,P n n 2,Co Te2,Co,Co,1,9,4,Te2,Te,2,16,5,Orthorhombic,,
34,628781,P n n 2,Cu S2,Cu,Cu,1,11,4,S2,S,2,16,3,Orthorhombic,,
34,646409,P n n 2,Ni Sb2,Ni,Ni,1,10,4,Sb2,Sb,2,15,5,Orthorhombic,,
35,71912,C m m 2,W O1.09,W,W,1,6,6,O1.09,O,1.09,16,2,Orthorhombic,,
36,1263,C m c 21,K2 S3,K2,K,2,1,4,S3,S,3,16,3,Orthorhombic,,
36,1264,C m c 21,K2 Se3,K2,K,2,1,4,Se3,Se,3,16,4,Orthorhombic,,
36,1940,B m 21 b,D F,D,D,1,1,1,F,F,1,17,2,Orthorhombic,,
36,2432,C m c 21,In Cl,In,In,1,13,5,Cl,Cl,1,17,3,Orthorhombic,,
36,2596,C m c 21,Cr I2,Cr,Cr,1,6,4,I2,I,2,17,5,Orthorhombic,,
36,14092,C m c 21,Rb2 S3,Rb2,Rb,2,1,5,S3,S,3,16,3,Orthorhombic,,
36,14093,C m c 21,Rb2 Se3,Rb2,Rb,2,1,5,Se3,Se,3,16,4,Orthorhombic,,
36,14094,C m c 21,Cs2 S3,Cs2,Cs,2,1,6,S3,S,3,16,3,Orthorhombic,,
36,14095,C m c 21,Cs2 Se3,Cs2,Cs,2,1,6,Se3,Se,3,16,4,Orthorhombic,,
36,22120,C c m 21,I Br,I,I,1,17,5,Br,Br,1,17,4,Orthorhombic,,
36,22242,C m c 21,Hg I2,Hg,Hg,1,12,6,I2,I,2,17,5,Orthorhombic,,
36,23724,C m c 21,Si P,Si,Si,1,14,3,P,P,1,15,3,Orthorhombic,,
36,23916,C m c 21,Nb I4,Nb,Nb,1,5,5,I4,I,4,17,5,Orthorhombic,,
36,27037,B b 21 m,D Cl,D,D,1,1,1,Cl,Cl,1,17,3,Orthorhombic,,
36,27055,B b 21 m,D Br,D,D,1,1,1,Br,Br,1,17,4,Orthorhombic,,
36,26279,C m c 21,Pd2 As,Pd2,Pd,2,10,5,As,As,1,15,4,Orthorhombic,,
36,30290,C m c 21,Hg Br2,Hg,Hg,1,12,6,Br2,Br,2,17,4,Orthorhombic,,
36,31689,C m c 21,Br F3,Br,Br,1,17,4,F3,F,3,17,2,Orthorhombic,,
36,31690,C m c 21,Br F5,Br,Br,1,17,4,F5,F,5,17,2,Orthorhombic,,
36,34685,C c m 21,B2 O3,B2,B,2,13,2,O3,O,3,16,2,Orthorhombic,,
36,35295,C m c 21,Ba P10,Ba,Ba,1,2,6,P10,P,10,15,3,Orthorhombic,,
36,37222,C m c 21,Mo P2,Mo,Mo,1,6,5,P2,P,2,15,3,Orthorhombic,,
36,60619,C m c 21,Sn O,Sn,Sn,1,14,5,O,O,1,16,2,Orthorhombic,,
36,47199,C m c 21,D2 O,D2,D,2,1,1,O,O,1,16,2,Orthorhombic,,
36,61178,C m c 21,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Orthorhombic,,
