Table No.,ICSD No.,Space Group,Struct.formula,,å≥ëf1,å≥ëf1êî,ë∞1,é¸ä˙1,,å≥ëf2,å≥ëf2êî,ë∞2,é¸ä˙2,èªån,
113,36366,P -4 21 m,Ba Te3,Ba,Ba,1,2,6,Te3,Te,3,16,5,Tetragonal,
113,83634,P -4 21 m,Ca16 Sb11,Ca16,Ca,16,2,4,Sb11,Sb,11,15,5,Tetragonal,
113,86144,P -4 21 m,W O3,W,W,1,6,6,O3,O,3,16,2,Tetragonal,
113,91289,P -4 21 m,Eu16 Sb11,Eu16,Eu,16,3,6,Sb11,Sb,11,15,5,Tetragonal,
113,408045,P -4 21 m,Na Sn5,Na,Na,1,1,3,Sn5,Sn,5,14,5,Tetragonal,
113,150217,P -4 21 m,Eu16 Bi11,Eu16,Eu,16,3,6,Bi11,Bi,11,15,6,Tetragonal,
114,23864,P -4 21 c,Pd4 Se,Pd4,Pd,4,10,5,Se,Se,1,16,4,Tetragonal,
114,23865,P -4 21 c,Pd4 S,Pd4,Pd,4,10,5,S,S,1,16,3,Tetragonal,
114,28009,P -4 21 c,Bi2 O2.5,Bi2,Bi,2,15,6,O2.5,O,2.5,16,2,Tetragonal,
114,62979,P -4 21 c,Bi2 O3,Bi2,Bi,2,15,6,O3,O,3,16,2,Tetragonal,
114,200833,P -4 21 c,Yb15 C19,Yb15,Yb,15,3,6,C19,C,19,14,2,Tetragonal,
114,76817,P -4 21 c,Er15 C19,Er15,Er,15,3,6,C19,C,19,14,2,Tetragonal,
114,42631,P -4 21 c,Sc15 C19,Sc15,Sc,15,3,4,C19,C,19,14,2,Tetragonal,
114,601559,P -4 21 c,Lu15 C19,Lu15,Lu,15,3,6,C19,C,19,14,2,Tetragonal,
114,618080,P -4 21 c,Ho15 C19,Ho15,Ho,15,3,6,C19,C,19,14,2,Tetragonal,
114,618981,P -4 21 c,Tm15 C19,Tm15,Tm,15,3,6,C19,C,19,14,2,Tetragonal,
114,619118,P -4 21 c,Y15 C19,Y15,Y,15,3,5,C19,C,19,14,2,Tetragonal,
114,5284,P -4 21 c,C10 H16,C10,C,10,14,2,H16,H,16,1,1,Tetragonal,
115,83,P -4 m 2,V P1.7455,V,V,1,5,4,P1.7455,P,1.7455,15,3,Tetragonal,
115,35626,P -4 m 2,Rh3 P2,Rh3,Rh,3,9,5,P2,P,2,15,3,Tetragonal,
115,40200,P -4 m 2,Al Al1.67 O4,Al,Al,1,13,3,Al1.67,Al,1.67,13,3,Tetragonal,
115,95272,P -4 m 2,Hg I2,Hg,Hg,1,12,6,I2,I,2,17,5,Tetragonal,
115,645161,P -4 m 2,Nb4 P7,Nb4,Nb,4,5,5,P7,P,7,15,3,Tetragonal,
116,20323,P -4 c 2,Mn4 Si7,Mn4,Mn,4,7,4,Si7,Si,7,14,3,Tetragonal,
116,42909,P -4 c 2,Ir4 Ge5,Ir4,Ir,4,9,6,Ge5,Ge,5,14,4,Tetragonal,
116,103949,P -4 c 2,Ga17 Rh10,Ga17,Ga,17,13,4,Rh10,Rh,10,9,5,Tetragonal,
116,105994,P -4 c 2,Ru2 Sn3,Ru2,Ru,2,8,5,Sn3,Sn,3,14,5,Tetragonal,
116,625021,P -4 c 2,Co2 Si3,Co2,Co,2,9,4,Si3,Si,3,14,3,Tetragonal,
116,637672,P -4 c 2,Re4 Ge7,Re4,Re,4,7,6,Ge7,Ge,7,14,4,Tetragonal,
116,637741,P -4 c 2,Ru2 Ge3,Ru2,Ru,2,8,5,Ge3,Ge,3,14,4,Tetragonal,
116,652382,P -4 c 2,Tc4 Si7,Tc4,Tc,4,7,5,Si7,Si,7,14,3,Tetragonal,
117,27151,C -4 2 b,Bi2 O3,Bi2,Bi,2,15,6,O3,O,3,16,2,Tetragonal,
117,28444,C -4 2 b,Bi4 O7,Bi4,Bi,4,15,6,O7,O,7,16,2,Tetragonal,
